SN MIB Stat[EGM0002091656]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091658]: F[S=2956,R=2938],T[Min=378,Max=15134,Ave=1803].
SN MIB Stat[EGM0002091660]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091661]: F[S=1988,R=1882],T[Min=0,Max=21912,Ave=2183].
SN MIB Stat[EGM0002091662]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091664]: F[S=2955,R=2938],T[Min=355,Max=9930,Ave=1801].
SN MIB Stat[EGM0002091665]: F[S=1788,R=1737],T[Min=309,Max=18056,Ave=3032].
SN MIB Stat[EGM0002091666]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091669]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091670]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091672]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091674]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091675]: F[S=3152,R=3027],T[Min=0,Max=23746,Ave=2212].
SN MIB Stat[EGM0002091676]: F[S=2980,R=2928],T[Min=354,Max=15630,Ave=1533].
SN MIB Stat[EGM0002091677]: F[S=3304,R=3108],T[Min=0,Max=23721,Ave=2252].
SN MIB Stat[EGM0002091678]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091679]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091681]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091682]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091684]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091685]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091687]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091688]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091689]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091690]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091691]: F[S=2986,R=2940],T[Min=0,Max=23874,Ave=2149].
SN MIB Stat[EGM0002091693]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091694]: F[S=153,R=60],T[Min=26,Max=9768,Ave=2757].
SN MIB Stat[EGM0002091695]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091696]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091697]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091698]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091699]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091700]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091701]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091702]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091703]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091704]: F[S=3,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091705]: F[S=177,R=80],T[Min=0,Max=20922,Ave=2684].
SN MIB Stat[EGM0002091706]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091707]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091708]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091709]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091710]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091711]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091712]: F[S=2,R=2],T[Min=1879,Max=13939,Ave=7909].
SN MIB Stat[EGM0002091713]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091716]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091717]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091718]: F[S=4,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091719]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091723]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091724]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091725]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091726]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091728]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091729]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091730]: F[S=13,R=8],T[Min=570,Max=4470,Ave=2631].
SN MIB Stat[EGM0002091731]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091732]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091733]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091734]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091735]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091736]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091737]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091738]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091739]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091740]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091741]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091742]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091743]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091744]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091745]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091746]: F[S=6,R=2],T[Min=749,Max=6760,Ave=3755].
SN MIB Stat[EGM0002091747]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091748]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091749]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091750]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091752]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091755]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091756]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091757]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091760]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091761]: F[S=6,R=0],T[Min=0,Max=0,Ave=0].
